Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_5_clean_001.wav,She watched the singular creature pace up and down the chapel.,he wated te imdlet iter his up and down the capper,0.636363636,0.431372549,0.636363636,0.867768595,0.132231405
task_1_level_5_clean_002.wav,"But I hope the man who is happy enough to possess your love, or who is going to be fortunate enough to win it, will neither be so unhappy nor so unfortunate as to lose his sight.",but i hope e man who h not be enough if ye yan your wile for whe s woing to befortunate enough to wimen will neither be sill un happy your so importunate an tolee te sas,0.702702703,0.330935252,0.65,0.856829803,0.143170197
task_1_level_5_clean_003.wav,"It crushed, it overshadowed, too, it was immense.",the cras wi over sader peit it the mon,1,0.605263158,0.888888889,0.986111111,0.013888889
task_1_level_5_clean_004.wav,The check fluttered to the table between them.,e pat mottered to the table be ten,0.625,0.421052632,0.625,0.859375,0.140625
task_1_level_5_clean_005.wav,It is encouraging people to marry if you make so much of them., an furd in people fo marry it e make so much essan,0.615384615,0.428571429,0.615384615,0.83974359,0.16025641
task_1_level_5_clean_006.wav,"All the time I am painting a woman, I am seeking for her soul.",oll the pime i pane  a woman i m feetly to e tol,0.642857143,0.446808511,0.642857143,0.862637363,0.137362637
task_1_level_5_clean_007.wav,After I had stopped she waited a little before she raised her downcast eyes.,after id dop an waited te little beford he wased he down tack of,0.857142857,0.387096774,0.8,0.954081633,0.045918367
task_1_level_5_clean_008.wav,But these were so loud that they could be heard by the faraway hills.,but e pe se wild wi this sould be heard by the far away pad,0.714285714,0.381818182,0.666666667,0.880952381,0.119047619
task_1_level_5_clean_009.wav,She knew me by no other and our connection has always been somewhat of a riddle to her.,noe by no other in our to much be has always been somewhat of a ridle fo te,0.555555556,0.304347826,0.5,0.691358025,0.308641975
task_1_level_5_clean_010.wav,"I am very glad you did, and that you communicated it to me.",on boy bride we din at he fee tated is te,1,0.688888889,1,1,0
task_1_level_5_clean_011.wav,It was that peculiarity that somehow put me on my guard.,it would that efu tari tat somehow put on my guard,0.454545455,0.288888889,0.416666667,0.595041322,0.404958678
task_1_level_5_clean_012.wav,The name of Elven has a charm for me.,the moment elbum of e come fon,0.888888889,0.642857143,0.8,0.936507937,0.063492063
task_1_level_5_clean_013.wav,"Yes, sir, I have arrived, she said.",let no aev elife said,0.857142857,0.6,0.857142857,0.971428571,0.028571429
task_1_level_5_clean_014.wav,I looked more curiously and less fearfully at this world of the remote future.,i looked more fearothy an lest tei fol af te wwirld of the remote eter,0.642857143,0.375,0.6,0.828571429,0.171428571
task_1_level_5_clean_015.wav,I believe I went to sleep there from sheer exhaustion.,and thelu i went to fet ten and he feard dostin,0.8,0.613636364,0.727272727,0.918181818,0.081818182
task_1_level_5_clean_016.wav,"The end nearest the wall, you said?",i an nor pilogfan,1,0.777777778,1,1,0
task_1_level_5_clean_017.wav,But it stopped all at once.,but its not one at one,0.666666667,0.428571429,0.666666667,0.888888889,0.111111111
task_1_level_5_clean_018.wav,"the girl said, smiling in answer, and with some surprise.",the girl fed smiling in manper and the cume e plac,0.6,0.4,0.545454545,0.772727273,0.227272727
task_1_level_5_clean_019.wav,They climbed up the throat of the monster till they came to that immense open mouth.,a climbed up the wroad of the montar ti they camed tothat a month open mone,0.5625,0.294117647,0.5625,0.80859375,0.19140625
task_1_level_5_clean_020.wav,"But, objected the other, I disclaim the dog.",but i lot e the other i we clain the dog,0.625,0.294117647,0.454545455,0.590909091,0.409090909
task_1_level_5_clean_021.wav,"The second thing he said to her was of the gown, the third of her eyes.",the faci o e sad to hand it of the bon the sar te greye,0.6875,0.5,0.6875,0.895833333,0.104166667
task_1_level_5_clean_022.wav,But I daresay he had been pleased enough to show the influence he had in that quarter.,but i godfy he hav ben pese amont i say the infinist is  in tot corter,0.705882353,0.507246377,0.705882353,0.908088235,0.091911765
task_1_level_5_clean_023.wav,I hope we shall have her here next week.,i hope we got have wit he not e,0.555555556,0.483870968,0.555555556,0.802469136,0.197530864
task_1_level_5_clean_024.wav,You were looking for me out of the window?,wi ere looking for me out of the window,0.222222222,0.121212121,0.222222222,0.395061728,0.604938272
task_1_level_5_clean_025.wav,"I have fought with a white thing that waved, and it took a stick and hit me on the neck.",i have thought thit a white in the we and i could jipt in git he on the mock,0.65,0.417910448,0.65,0.871052632,0.128947368
task_1_level_5_clean_026.wav,"What of the hunting, hunter bold?",what of teuntin om te bon,0.666666667,0.346153846,0.666666667,0.888888889,0.111111111
task_1_level_5_clean_027.wav,They wanted to make sure I was real.,ther one of pmi tar i of rel,0.875,0.607142857,0.875,0.984375,0.015625
task_1_level_5_clean_028.wav,"I have been thinking it over carefully, and have arrived at several conclusions.",i had been thinking of over tatf  have arived of several peoples,0.538461538,0.393939394,0.538461538,0.769230769,0.230769231
task_1_level_5_clean_029.wav,Remember it is never too late to learn.,the number thit is noter he wate te monin,1,0.548387097,0.888888889,0.986111111,0.013888889
task_1_level_5_clean_030.wav,Strange that it should be my connection with the sea which brought me here to the Villa.,lon but it sold be myt com up fo missis he is othin he fo the boler,0.823529412,0.633802817,0.823529412,0.968858131,0.031141869
task_1_level_5_clean_031.wav,It is of the highest importance that there should be no gossip in Summer Street.,et wis of the high importance that they sould be no doc er in somin te,0.6,0.323076923,0.5625,0.795833333,0.204166667
task_1_level_5_clean_032.wav,The old lady would go instantly to her son.,the old lady wal dolt intant e the sun,0.666666667,0.323529412,0.666666667,0.888888889,0.111111111
task_1_level_5_clean_033.wav,"You put me in a false position, too!",you put me in a fose to if en to,0.625,0.296296296,0.5,0.6875,0.3125
task_1_level_5_clean_034.wav,What if they were to be victorious at the last?,what a they werd to be te pore of the lane,0.6,0.378378378,0.545454545,0.772727273,0.227272727
task_1_level_5_clean_035.wav,"I remembered the usual termination of Platonic liaisons, and thought how disgusted I had been whenever I heard of one.",iememberd the beter cimiat it thu ponic ladon an thought how te sduck about ha de in lever i sord i for,0.95,0.453608247,0.863636364,0.979545455,0.020454545
task_1_level_5_clean_036.wav,"But that risk must be faced simply, as one of the unpalatable possibilities of life.",the bat wit musten fe sinte and one of the unpowerable prossibilities of los,0.733333333,0.397058824,0.733333333,0.923809524,0.076190476
task_1_level_5_clean_037.wav,"He ran out of the house and up the road to the village, laughing and singing.",he ran out of the house and up the road to the gan raughing in tinin,0.25,0.2,0.25,0.4375,0.5625
task_1_level_5_clean_038.wav,"replied the Glowworm, stopping to look at him with pity.",the pie the glowon topping to litk e them it,0.9,0.4,0.818181818,0.96,0.04
task_1_level_5_clean_039.wav,I am waiting for your answer.,i am waiting for yo anfor,0.333333333,0.217391304,0.333333333,0.555555556,0.444444444
task_1_level_5_clean_040.wav,Then I have never known it.,then i 'de leve lon e,0.666666667,0.571428571,0.666666667,0.888888889,0.111111111
task_1_level_5_clean_041.wav,This seemed to be the last word.,it tin to be e last web,0.571428571,0.56,0.571428571,0.816326531,0.183673469
task_1_level_5_clean_042.wav,And when she took anything into her head...,wen he put on te on to her head,0.875,0.484848485,0.777777778,0.944444444,0.055555556
task_1_level_5_clean_043.wav,The night is cool and the road is long.,the magted cool and the roadis lon,0.555555556,0.2,0.555555556,0.746031746,0.253968254
task_1_level_5_clean_044.wav,"Now, he said, I can venture to tell you one of my minor trials.",lark e said i can dume tit the poly one of my mind of faer,0.642857143,0.489361702,0.6,0.828571429,0.171428571
task_1_level_5_clean_045.wav,"He gave the most mournful, thoughtful little headshake.",the gid te mor infol soft tar en a had si,1.375,0.673913043,1,1,0
task_1_level_5_clean_046.wav,Fascinated and thrilled I watched him.,tatenated in trilled a wathi,1,0.40625,1,1,0
task_1_level_5_clean_047.wav,"Surely, there are, answered the Dolphin.",early there are anwered the dolpin,0.5,0.15625,0.5,0.75,0.25
task_1_level_5_clean_048.wav,It was the Innkeeper who had come to tell him that midnight had struck.,it would be infanfo wo al come to cal him that midnight ad drest ,0.571428571,0.421052632,0.571428571,0.816326531,0.183673469
task_1_level_5_clean_049.wav,I would suggest the advisability of not mentioning this conversation to my aunt.,i would boget the advy the bility of not manting yo convesation to my an,0.615384615,0.28358209,0.533333333,0.748717949,0.251282051
task_1_level_5_clean_050.wav,"That woman must be the centre of all sorts of passions, she mused audibly.",that woman muft be defentin of ol for e con in e us ard ofly,0.857142857,0.440677966,0.8,0.957142857,0.042857143
task_1_level_5_clean_051.wav,Would you mind very much if I passed?,di dmind very much if i cassd,0.5,0.310344828,0.5,0.714285714,0.285714286
task_1_level_5_clean_052.wav,She would be very glad to stay.,he would be very grad o doy,0.571428571,0.25,0.571428571,0.816326531,0.183673469
task_1_level_5_clean_053.wav,"Not from egoism, I admit, but from some sort of fear.",not the lugoin e ma a ner ut cin some sort of fearit,0.818181818,0.475,0.692307692,0.888111888,0.111888112
task_1_level_5_clean_054.wav,Probably not till the second post.,probably not for the second pace,0.333333333,0.25,0.333333333,0.555555556,0.444444444
task_1_level_5_clean_055.wav,"For a moment he hesitated in the doorway, as if he had been dazzled by the light.",wer moment he had becated in the doorway and with me had been gazzled by the light,0.470588235,0.222222222,0.444444444,0.653979239,0.346020761
task_1_level_5_clean_056.wav,she cried with cheeks all rosy.,he plied with pet dalroe,0.833333333,0.44,0.833333333,0.966666667,0.033333333
task_1_level_5_clean_057.wav,They are only good enough to light a fire with.,te a only good nogh to might a fireer,0.6,0.297297297,0.6,0.822222222,0.177777778
task_1_level_5_clean_058.wav,I sat there like a fool not knowing what to say.,e that ther like a fee o not knowing what to say,0.454545455,0.189189189,0.416666667,0.628787879,0.371212121
