Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_5_clean_001.wav,She watched the singular creature pace up and down the chapel.,she watched the singular creature hace up and down the chappel,0.181818182,0.039215686,0.181818182,0.330578512,0.669421488
task_1_level_5_clean_002.wav,"But I hope the man who is happy enough to possess your love, or who is going to be fortunate enough to win it, will neither be so unhappy nor so unfortunate as to lose his sight.",but i hope the man who is happy enough to possess your love or who is going to be fortunate enough to win it will neither be so unhappy your so infortunate as to lose his sight,0.054054054,0.021582734,0.054054054,0.105186267,0.894813733
task_1_level_5_clean_003.wav,"It crushed, it overshadowed, too, it was immense.",it crushed it overshadowed too it was ammense,0.125,0.026315789,0.125,0.234375,0.765625
task_1_level_5_clean_004.wav,The check fluttered to the table between them.,the cheqk fluttered to the table between them,0.125,0.026315789,0.125,0.234375,0.765625
task_1_level_5_clean_005.wav,It is encouraging people to marry if you make so much of them.,it is encouraging people to marry if you make so much of them,0,0,0,0,1
task_1_level_5_clean_006.wav,"All the time I am painting a woman, I am seeking for her soul.",all the time i 'm painting a woman i am seeking for her soul,0,0,0,0,1
task_1_level_5_clean_007.wav,After I had stopped she waited a little before she raised her downcast eyes.,after i had stopped she waited a little abor she raised her downcast eyes,0.071428571,0.064516129,0.071428571,0.137755102,0.862244898
task_1_level_5_clean_008.wav,But these were so loud that they could be heard by the faraway hills.,but these were so loud that they could be heard by the far away hills,0.142857143,0,0.133333333,0.195238095,0.804761905
task_1_level_5_clean_009.wav,She knew me by no other and our connection has always been somewhat of a riddle to her.,she knew me by no other and oure connection has always been somewhat of a riddle to her,0.055555556,0.014492754,0.055555556,0.108024691,0.891975309
task_1_level_5_clean_010.wav,"I am very glad you did, and that you communicated it to me.",i am very glad you did and that you communicated it to me,0,0,0,0,1
task_1_level_5_clean_011.wav,It was that peculiarity that somehow put me on my guard.,it was that peculiarity that somehow put me on my guard,0,0,0,0,1
task_1_level_5_clean_012.wav,The name of Elven has a charm for me.,the name of elvin has a charm for me,0.111111111,0.035714286,0.111111111,0.209876543,0.790123457
task_1_level_5_clean_013.wav,"Yes, sir, I have arrived, she said.",yes sir i have arrived she said,0,0,0,0,1
task_1_level_5_clean_014.wav,I looked more curiously and less fearfully at this world of the remote future.,i looked more curiously and less fearfully at this world of the remoth future,0.071428571,0.015625,0.071428571,0.137755102,0.862244898
task_1_level_5_clean_015.wav,I believe I went to sleep there from sheer exhaustion.,i believe i went to sleep there yand sheer exhaustion,0.1,0.090909091,0.1,0.19,0.81
task_1_level_5_clean_016.wav,"The end nearest the wall, you said?",the end nearest the law you said,0.142857143,0.111111111,0.142857143,0.265306122,0.734693878
task_1_level_5_clean_017.wav,But it stopped all at once.,but it stopped all at once,0,0,0,0,1
task_1_level_5_clean_018.wav,"the girl said, smiling in answer, and with some surprise.",the girl said smiling in answer and with some surprise,0,0,0,0,1
task_1_level_5_clean_019.wav,They climbed up the throat of the monster till they came to that immense open mouth.,they climbed up the throat of the monster till they came to that immense open mouth,0,0,0,0,1
task_1_level_5_clean_020.wav,"But, objected the other, I disclaim the dog.",but objected the other i disclaimd the dog,0.125,0.029411765,0.125,0.234375,0.765625
task_1_level_5_clean_021.wav,"The second thing he said to her was of the gown, the third of her eyes.",the second thing he said to her was ob the down the third of her eyes,0.125,0.037037037,0.125,0.234375,0.765625
task_1_level_5_clean_022.wav,But I daresay he had been pleased enough to show the influence he had in that quarter.,but i dare say he had been pleased enough to show the influence he had in that cuarter,0.176470588,0.014492754,0.166666667,0.264705882,0.735294118
task_1_level_5_clean_023.wav,I hope we shall have her here next week.,i hope we shall have her here next week,0,0,0,0,1
task_1_level_5_clean_024.wav,You were looking for me out of the window?,you will looking to me out of the windown,0.333333333,0.181818182,0.333333333,0.555555556,0.444444444
task_1_level_5_clean_025.wav,"I have fought with a white thing that waved, and it took a stick and hit me on the neck.",i have fought with a white thing that waved and it took a stick and hit me on the neck,0,0,0,0,1
task_1_level_5_clean_026.wav,"What of the hunting, hunter bold?",what of the hunting hanter bold,0.166666667,0.038461538,0.166666667,0.305555556,0.694444444
task_1_level_5_clean_027.wav,They wanted to make sure I was real.,they wanted to make sure i was real,0,0,0,0,1
task_1_level_5_clean_028.wav,"I have been thinking it over carefully, and have arrived at several conclusions.",i have been thinking if over carefully and have arrived at several conclusions,0.076923077,0.015151515,0.076923077,0.147928994,0.852071006
