Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_4_clean_001.wav,"I would offer to escort you, but duty takes me, at an early hour, in quite another direction.",i would offer to at cordye but du an a an early hour and quite another dilection,0.444444444,0.236111111,0.444444444,0.673202614,0.326797386
task_1_level_4_clean_002.wav,"Yet it appeared to me that we were all, at Bly, sufficiently sacrificed to make that venial.",bt ed e were all  tie t e,0.882352941,0.780821918,0.882352941,0.970588235,0.029411765
task_1_level_4_clean_003.wav,"The young man was amused, and the dog also seemed to enjoy the exercise.",a young man with a ne and the dog off wer in in joyd uc te tad,0.857142857,0.543859649,0.705882353,0.894957983,0.105042017
task_1_level_4_clean_004.wav,He fairly glittered in the gloom.,he e letter in a dram,0.666666667,0.62962963,0.666666667,0.888888889,0.111111111
task_1_level_4_clean_005.wav,"Ah, the world is too much for us.",ah the world is too much for,0.125,0.083333333,0.125,0.125,0.875
task_1_level_4_clean_006.wav,When he thanked her she started to her feet.,when he fune e sated to ese,0.666666667,0.485714286,0.666666667,0.857142857,0.142857143
task_1_level_4_clean_007.wav,No doubt she had bought that lot very cheap and it did not look at all inviting.,no doubt ed bught tat lot ba  an a did not look at all inbithem,0.529411765,0.333333333,0.529411765,0.749019608,0.250980392
task_1_level_4_clean_008.wav,"They came round the bend together, and out into the clearing.",a pa mound abank ater and out into the car,0.636363636,0.448979592,0.636363636,0.854545455,0.145454545
task_1_level_4_clean_009.wav,I had so feared you might think it useless or foolish.,i ad do't ye  my pint of mefer ee,0.909090909,0.744186047,0.909090909,0.990909091,0.009090909
task_1_level_4_clean_010.wav,And now let me ask you a few questions.,a now lin atea fe qlestion,0.888888889,0.466666667,0.888888889,0.981481481,0.018518519
task_1_level_4_clean_011.wav,The neighbourhood of Brunswick Square is very different from almost all the rest.,the mighborhood of bun it frated very different from almort all the resk,0.461538462,0.223880597,0.461538462,0.710059172,0.289940828
task_1_level_4_clean_012.wav,The moonlight on the lake is worth seeing from the terrace., men light on the lake it work ferng from the par,0.545454545,0.354166667,0.545454545,0.79338843,0.20661157
task_1_level_4_clean_013.wav,"Yes, it was always this colour.",y it wish always be coler,0.666666667,0.391304348,0.666666667,0.888888889,0.111111111
task_1_level_4_clean_014.wav,"It hops about upon the ground, chirping anxiously.",e half tha baut upon the ground cooping onily,0.75,0.390243902,0.666666667,0.875,0.125
task_1_level_4_clean_015.wav,But you will do every thing right.,t would adn ike,1,0.740740741,1,1,0
task_1_level_4_clean_016.wav,"Those who knew any thing about it, must have felt the difference.",thoh tin anything about it must have felt the difference,0.416666667,0.134615385,0.416666667,0.591666667,0.408333333
task_1_level_4_clean_017.wav,Then I had better speak to him and remind him who I am.,eni had to han a remind in ho i ar,0.692307692,0.476190476,0.692307692,0.876923077,0.123076923
task_1_level_4_clean_018.wav,Something new for your coachman and horses to be making their way through a storm of snow.,somthing moved on the coach men and forses o mosion their way toh a sform of snow,0.705882353,0.342465753,0.666666667,0.875432526,0.124567474
task_1_level_4_clean_019.wav,I asked him how old he was.,often ho old yo wa,0.857142857,0.6,0.857142857,0.971428571,0.028571429
task_1_level_4_clean_020.wav,No sooner was it finished than it began to laugh and poke fun at him.,noer was it e and af began alow and poped byni him,0.666666667,0.5,0.666666667,0.861111111,0.138888889
task_1_level_4_clean_021.wav,He looked like a giant lizard with legs and arms.,looke like a diant lizard with led and arms,0.4,0.153846154,0.4,0.6,0.4
task_1_level_4_clean_022.wav,"Good man, will you be kind enough to give a penny to a poor boy who is yawning from hunger?",good man when yo be kind enough to gi a panin to a poor boy o oning from higher,0.4,0.271428571,0.4,0.621052632,0.378947368
task_1_level_4_clean_023.wav,"He has no income, no profession, no home all those things tell against him.",e had no anycome no profession no home all those tins power genst tin,0.5,0.254237288,0.5,0.75,0.25
task_1_level_4_clean_024.wav,He is a most valorous captain.,e bal captain,0.833333333,0.583333333,0.833333333,0.944444444,0.055555556
task_1_level_4_clean_025.wav,Somewhere in a window a caged bird was singing its heart out to the sky.,some werein a window accate bird was dan a had out to the stye,0.533333333,0.315789474,0.533333333,0.766666667,0.233333333
task_1_level_4_clean_026.wav,He will never think anything worth while.,e never thin anything woth wi,0.714285714,0.294117647,0.714285714,0.904761905,0.095238095
task_1_level_4_clean_027.wav,What have you been doing to it?,what have you been doing to it,0,0,0,0,1
