Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_7_clean_001.wav,"No, said he, smiling, that is no subject of regret at all.",mon fan he sein had a min tat thet taf te gena on,1,0.627906977,0.923076923,0.993589744,0.006410256
task_1_level_7_clean_002.wav,"This story will be all over the world, we heard him begin.",wit car to the ilid o the word e wivin began,0.916666667,0.622222222,0.916666667,0.992424242,0.007575758
task_1_level_7_clean_003.wav,"But the question was, how much?",it te plecton rad an left,1,0.666666667,1,1,0
task_1_level_7_clean_004.wav,"In the pause which followed, could be heard the tension of feeling produced.",thin the plau wis fired to be saded the centon of eing to es,0.769230769,0.532258065,0.714285714,0.912087912,0.087912088
task_1_level_7_clean_005.wav,"I hope we all try, said she, smiling nervously.",i woth the i saw ,0.888888889,0.805555556,0.888888889,0.977777778,0.022222222
task_1_level_7_clean_006.wav,What can she be to me?,dot cim to bete,0.833333333,0.625,0.833333333,0.958333333,0.041666667
task_1_level_7_clean_007.wav,This was just the moment to seize.,this is depti moment e,0.714285714,0.518518519,0.714285714,0.885714286,0.114285714
task_1_level_7_clean_008.wav,"I happen to know, because we are pretty good friends.",i hapen  men te re ar pot y ben ten,0.9,0.619047619,0.9,0.99,0.01
task_1_level_7_clean_009.wav,There was certainly no harm in his travelling sixteen miles twice over on such an errand but there was an air of foppery and nonsense in it which she could not approve.,it is hent y made hime in i tanin tite mie bo o oan of the man ut ther was an er of procker and nontan  i sho bid not af tree,0.875,0.580882353,0.848484848,0.975585938,0.024414063
task_1_level_7_clean_010.wav,"He saw radiant joy in her face, he saw the flowers beat against her dress in blue waves.",he faund he in toin he tace he sagt e slower beauteen to nol and be raned,0.888888889,0.52173913,0.888888889,0.986928105,0.013071895
task_1_level_7_clean_011.wav,"This was her time to efface herself and the household, to help him to lift the load.",the te can com lesface irself in the housean the had been to list re mon,0.882352941,0.545454545,0.882352941,0.985294118,0.014705882
task_1_level_7_clean_012.wav,But to whom did you say them?,at the do to do ban,1,0.727272727,1,1,0
task_1_level_7_clean_013.wav,"It may seem strange, perhaps, that I had not noticed this before.",but movin can tor hel that i had not made e i te far ,0.833333333,0.588235294,0.714285714,0.904761905,0.095238095
task_1_level_7_clean_014.wav,The best way to picture it all is to say that I was off my guard.,hit that tar the pic ton it te par  is off my dad,0.875,0.591836735,0.777777778,0.923076923,0.076923077
