Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_2_level_3_clean_001.wav,"No, retorted Maggie, I know what I said and I said what I meant.",no to a no wat i said i said what i meand,0.5,0.395833333,0.5,0.708333333,0.291666667
task_2_level_3_clean_002.wav,"The fault of Euphemia is that she will not, simply will not, chop the suet sufficiently small.", altity meed is as she o not simply wol not chop the siicofficien smal,0.588235294,0.426666667,0.588235294,0.794117647,0.205882353
task_2_level_3_clean_003.wav,If he had only known then the dreadful things that were to happen to him on account of his disobedience!,if he had open ol man e trefl es ate to happen to him on a count of his disaplinins,0.55,0.404761905,0.523809524,0.75,0.25
task_2_level_3_clean_004.wav,That place is too sweetly squalid for words.,that was is to sweeply swallowing wors,0.75,0.416666667,0.75,0.928571429,0.071428571
task_2_level_3_clean_005.wav,"Part only of this answer, however, was admitted.",wat wav the isans er how e posi me,1.125,0.552631579,1,1,0
task_2_level_3_clean_006.wav,While you were away in the city the Fox and the Cat returned here in a great hurry.,wile you rewan sidi past the cabi tur er a great birg,0.777777778,0.523076923,0.777777778,0.925925926,0.074074074
task_2_level_3_clean_007.wav,That your cousin has always hoped.,they to cousin has always oet,0.5,0.285714286,0.5,0.75,0.25
task_2_level_3_clean_008.wav,You shall hear tomorrow what she learned.,he shall bance qare,0.857142857,0.705882353,0.857142857,0.964285714,0.035714286
task_2_level_3_clean_009.wav,To kill a naked cub is shame.,to kill a make in oes shame,0.428571429,0.272727273,0.428571429,0.673469388,0.326530612
task_2_level_3_clean_010.wav,had she wronged him with her fears for the future?,as she last hor fears for the fuger,0.6,0.475,0.6,0.8,0.2
task_2_level_3_clean_011.wav,"You see how he could see, I meanwhile went on.",he see how not e see and e or hpentoi,0.7,0.542857143,0.7,0.91,0.09
task_2_level_3_clean_012.wav,His one impulse was to put his arms about her.,his one en halse was to fit his arms about,0.4,0.25,0.363636364,0.51,0.49
task_2_level_3_clean_013.wav,"The wood is full of footsteps, said the doctor, just as the heart is full of echoes.",the wood is foe look steps tat the daughter just as her hearts  ome panes,0.647058824,0.384615385,0.647058824,0.858823529,0.141176471
task_2_level_3_clean_014.wav,"She was not yet quite able to see him and his charming happy wife together, without feeling uncomfortable.",she was not hittin wy aner to see him in its charming hal an wile together without feeling y hon,0.555555556,0.344827586,0.5,0.722222222,0.277777778
