Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_6_clean_001.wav,I felt my bare arms go cold like ice.,a pube deon tor pad in on,1,0.821428571,1,1,0
task_1_level_6_clean_002.wav,"Honesty, as you say, or some distinguished carcass to feed your vanity on?",on a pe of you ca wor sem te tender urjest i cin drivanago,1.076923077,0.644067797,0.933333333,0.994505495,0.005494505
task_1_level_6_clean_003.wav,"To leave me, in addition, with my remedy.",the loveman an a bookin e fi ramedy,1,0.580645161,1,1,0
task_1_level_6_clean_004.wav,Some time during the night I woke up chilled to the bone and in the dark.,dometines in the night a woke up gil to he bone an in e bo,0.5625,0.350877193,0.5625,0.795833333,0.204166667
task_1_level_6_clean_005.wav,"They were at this period extravagantly and preternaturally fond of me which, after all, I could reflect, was no more than a graceful response in children perpetually bowed over and hugged.",the were the cerid of  raveti i an pecon after respond of me which after all as the reflect is no more than a great folis fan an sotin potectaly vowda erin te par,0.741935484,0.467532468,0.676470588,0.885199241,0.114800759
task_1_level_6_clean_006.wav,She lowered her eyes again on her book and after a while heard him walk away on the path.,helod her i beganin his broo and i fer while ter he walked away  pa,0.789473684,0.457142857,0.789473684,0.943859649,0.056140351
task_1_level_6_clean_007.wav,"That sea monster was no other than the enormous Shark, which has often been mentioned in this story and which, on account of its cruelty, had been nicknamed The Attila of the Sea by both fish and fishermen.",that emark it was eno other than the an normous sogt is han often been makton in e tor ind wit on a count of he citon and the lifeant in a silar of the sen at es sist in sisten,0.763157895,0.466666667,0.707317073,0.907573813,0.092426187
task_1_level_6_clean_008.wav,Not a creature seemed to be stirring in that moonlit world.,not a prepe sen e torn an of man thet rord,0.818181818,0.583333333,0.818181818,0.966942149,0.033057851
task_1_level_6_clean_009.wav,Three men who had not paid dues were caught and summoned.,pe mem head not pose o e the court in famin,1,0.608695652,1,1,0
task_1_level_6_clean_010.wav,It was exactly as if they had both had at heart to gloss over any recent little friction.,i wis e datte o te fen had both had a part to brost over ony res on tor istis,0.833333333,0.436619718,0.75,0.930555556,0.069444444
task_1_level_6_clean_011.wav,Her bridges were burned behind her it was all over.,the biges wor burn a hind her e re ollover,1,0.390243902,0.909090909,0.99,0.01
task_1_level_6_clean_012.wav,"Then again, very quietly, I am in your power, but I know I am in the power of a friend.",then agoun thared si aling te power ber  norman thepolon hin,0.9,0.53125,0.9,0.981818182,0.018181818
task_1_level_6_clean_013.wav,Even my youth and inexperience were aware of that.,even my yeu an in perent wore awele a don,0.888888889,0.43902439,0.8,0.955555556,0.044444444
task_1_level_6_clean_014.wav,But why did you buy me?,thu why dis he buind e,0.833333333,0.588235294,0.833333333,0.972222222,0.027777778
task_1_level_6_clean_015.wav,"The bulls were turned, to the right this time, and crashed into the standing thicket.",the mold would tind to the right is mand he crasted into thi seni taten at,0.733333333,0.441176471,0.6875,0.895833333,0.104166667
task_1_level_6_clean_016.wav,"He is altogether without hair, and I could kill him with a touch of my foot.",in inty ever without har and by the kodin iti of e nantos,0.8125,0.593220339,0.8125,0.956730769,0.043269231
task_1_level_6_clean_017.wav,Now let me ask you something.,no os be contin,1,0.695652174,1,1,0
task_1_level_6_clean_018.wav,"There was a voice in the wood, in the distance behind them.",teli a boint fom e woy an the diften hind them,0.75,0.47826087,0.75,0.931818182,0.068181818
task_1_level_6_clean_019.wav,He had gone and thrown himself on his bed.,the gon in fron inself on his head,0.777777778,0.424242424,0.777777778,0.944444444,0.055555556
task_1_level_6_clean_020.wav,But this was no time to risk the chance of crossing him.,e bot os no time to liok the par of crosin,0.583333333,0.454545455,0.583333333,0.810606061,0.189393939
task_1_level_6_clean_021.wav,He will scorch in the sun., wis tourht in the fon,0.666666667,0.5,0.666666667,0.866666667,0.133333333
