Filename,Original Text,Transcribed Text,WER,CER,MER,WIL,WIP
task_1_level_1_clean_001.wav,I thought I should have fainted.,i tan i should have fainted,0.16666666666666666,0.23076923076923078,0.16666666666666666,0.30555555555555547,0.6944444444444445
task_1_level_1_clean_002.wav,"After a while, I picked up the gun, and turning my back on the sun tramped on again.",after a while i picked up the gun and turning my back on the sun tramped on again,0.0,0.0,0.0,0.0,1.0
task_1_level_1_clean_003.wav,"Here is his answer, if you like to see it.",here is his answer he like to see it,0.2,0.16129032258064516,0.2,0.28888888888888886,0.7111111111111111
task_1_level_1_clean_004.wav,But in the end she did go.,but in the end she did go,0.0,0.0,0.0,0.0,1.0
task_1_level_1_clean_005.wav,"Do you remember how the Israelites were shut in, between Migdol and the sea?",do you remember how the israel ites were shut in between mcgdall and the sea,0.21428571428571427,0.04918032786885246,0.2,0.3142857142857143,0.6857142857142857
task_1_level_1_clean_006.wav,What did you do it for?,would did you do it for,0.16666666666666666,0.23529411764705882,0.16666666666666666,0.30555555555555547,0.6944444444444445
task_1_level_1_clean_007.wav,"At the same moment the ground gave way, and with a cry she fell out of the wood.",at he see moment the ground gave way and with a cry she fell out of the wood,0.1111111111111111,0.04918032786885246,0.1111111111111111,0.2098765432098766,0.7901234567901234
task_1_level_1_clean_008.wav,"said Father Wolf, showing all his white teeth.",said father wolf showing all his wite teeth,0.125,0.02702702702702703,0.125,0.234375,0.765625
task_1_level_1_clean_009.wav,"Before she finished I began to paint, and she resumed the pose, smiling and chattering like a sparrow.",efore she finished i began to paint and she resumed the pose smiling and chattering like a sparrow,0.05555555555555555,0.012195121951219513,0.05555555555555555,0.10802469135802473,0.8919753086419753
task_1_level_1_clean_010.wav,Is he too so very remarkable?,is e too so very remarkable,0.16666666666666666,0.043478260869565216,0.16666666666666666,0.30555555555555547,0.6944444444444445
task_1_level_1_clean_011.wav,"I have not, said the Provincial Mayor.",i have not said the provincial mayor,0.0,0.0,0.0,0.0,1.0
task_1_level_1_clean_012.wav,I even composed a most beautiful letter of farewell.,i even complosed the most beautiful letter of farwell,0.3333333333333333,0.11627906976744186,0.3333333333333333,0.5555555555555556,0.4444444444444444
task_1_level_1_clean_013.wav,Away in front the crackling had become one prolonged crash.,wen front ecrackling had become one por longed crash,0.6,0.16326530612244897,0.5454545454545454,0.7222222222222222,0.2777777777777778
